134,825.00,408.00,0,149758
274,130,0.00,324.00,0,153643
380,130,245.00,312.00,0,153651
501,132,504.00,325.00,0,153659
624,135,797.00,308.00,0,153667
753,138,826.00,325.00,0,153675
897,140,825.00,291.00,0,153683
1031,143,826.00,308.00,0,153693
1151,146,826.00,312.00,0,153701
1261,148,809.00,325.00,0,153709
1359,149,80.00,324.00,0,153717
1469,150,342.00,309.00,0,153726
1590,151,644.00,325.00,0,153735
1711,152,679.00,308.00,0,153744
1836,152,804.00,325.00,0,153752
1960,154,792.00,309.00,0,153760
2074,154,331.00,341.00,0,153769
2189,156,0.00,325.00,0,153778
2303,158,212.00,324.00,0,153786
2427,162,334.00,325.00,0,153794
2555,166,543.00,308.00,0,153803
2683,171,759.00,308.00,0,153811
2817,176,825.00,308.00,0,153820
2961,182,825.00,308.00,0,153829
3099,188,825.00,308.00,0,153837
3220,194,825.00,325.00,0,153846
3325,198,601.00,341.00,0,153854
3428,202,221.00,308.00,0,153863
3547,206,531.00,325.00,0,153872
3669,208,650.00,325.00,0,153880
3791,211,797.00,325.00,0,153888
3913,212,795.00,325.00,0,153897
4031,214,407.00,324.00,0,153906
4148,216,299.00,308.00,0,153915
4268,218,337.00,325.00,0,153923
4391,220,305.00,307.00,0,153931
4517,224,473.00,308.00,0,153940
4643,228,756.00,308.00,0,153949
4773,233,807.00,309.00,0,153958
4909,238,825.00,291.00,0,153966
5047,244,825.00,291.00,0,153974
5173,248,822.00,309.00,0,153984
5283,251,726.00,324.00,0,153992
5389,254,255.00,325.00,0,154000
5508,256,498.00,308.00,0,154009
5631,256,682.00,325.00,0,154017
5753,258,767.00,325.00,0,154027
5877,258,760.00,308.00,0,154035
5997,258,612.00,324.00,0,154043
6115,260,416.00,325.00,0,154052
6233,262,310.00,308.00,0,154060
6355,266,216.00,325.00,0,154068
6479,272,474.00,341.00,0,154078
6607,278,719.00,308.00,0,154086
6733,286,791.00,324.00,0,154095
6865,293,813.00,308.00,0,154103
7001,299,818.00,308.00,0,154112
7133,304,825.00,308.00,0,154121
7250,308,809.00,341.00,0,154129
7358,309,304.00,324.00,0,154137
